bug,class,method,line
45,org.apache.commons.math.linear.AbstractRealMatrix,<init>,59
45,org.apache.commons.math.linear.AbstractRealMatrix,<init>,60
45,org.apache.commons.math.linear.AbstractRealMatrix,<init>,63
45,org.apache.commons.math.linear.AbstractRealMatrix,<init>,66
45,org.apache.commons.math.linear.AbstractRealMatrix,<init>,67
45,org.apache.commons.math.linear.OpenMapRealMatrix,<init>,48
45,org.apache.commons.math.linear.OpenMapRealMatrix,<init>,49
45,org.apache.commons.math.linear.OpenMapRealMatrix,<init>,50
45,org.apache.commons.math.linear.OpenMapRealMatrix,<init>,51
45,org.apache.commons.math.linear.OpenMapRealMatrix,<init>,52
45,org.apache.commons.math.util.FastMath,<clinit>,35
45,org.apache.commons.math.util.FastMath,<clinit>,40
45,org.apache.commons.math.util.FastMath,<clinit>,45
45,org.apache.commons.math.util.FastMath,<clinit>,50
45,org.apache.commons.math.util.FastMath,<clinit>,53
45,org.apache.commons.math.util.FastMath,<clinit>,56
45,org.apache.commons.math.util.FastMath,<clinit>,65
45,org.apache.commons.math.util.FastMath,<clinit>,85
45,org.apache.commons.math.util.FastMath,<clinit>,98
45,org.apache.commons.math.util.FastMath,<clinit>,108
45,org.apache.commons.math.util.FastMath,<clinit>,111
45,org.apache.commons.math.util.FastMath,<clinit>,114
45,org.apache.commons.math.util.FastMath,<clinit>,117
45,org.apache.commons.math.util.FastMath,<clinit>,120
45,org.apache.commons.math.util.FastMath,<clinit>,123
45,org.apache.commons.math.util.FastMath,<clinit>,126
45,org.apache.commons.math.util.FastMath,<clinit>,147
45,org.apache.commons.math.util.FastMath,<clinit>,155
45,org.apache.commons.math.util.FastMath,<clinit>,158
45,org.apache.commons.math.util.FastMath,<clinit>,169
45,org.apache.commons.math.util.FastMath,<clinit>,170
45,org.apache.commons.math.util.FastMath,<clinit>,171
45,org.apache.commons.math.util.FastMath,<clinit>,174
45,org.apache.commons.math.util.FastMath,<clinit>,175
45,org.apache.commons.math.util.FastMath,<clinit>,178
45,org.apache.commons.math.util.FastMath,<clinit>,179
45,org.apache.commons.math.util.FastMath,<clinit>,180
45,org.apache.commons.math.util.FastMath,<clinit>,181
45,org.apache.commons.math.util.FastMath,<clinit>,183
45,org.apache.commons.math.util.FastMath,<clinit>,185
45,org.apache.commons.math.util.FastMath,<clinit>,186
45,org.apache.commons.math.util.FastMath,<clinit>,187
45,org.apache.commons.math.util.FastMath,<clinit>,192
45,org.apache.commons.math.util.FastMath,<clinit>,193
45,org.apache.commons.math.util.FastMath,<clinit>,194
45,org.apache.commons.math.util.FastMath,<clinit>,195
45,org.apache.commons.math.util.FastMath,<clinit>,199
45,org.apache.commons.math.util.FastMath,<clinit>,200
45,org.apache.commons.math.util.FastMath,<clinit>,201
45,org.apache.commons.math.util.FastMath,<clinit>,205
45,org.apache.commons.math.util.FastMath,<clinit>,206
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1758
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1761
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1762
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1764
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1765
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1766
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1768
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1769
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1770
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1774
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1775
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1776
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1777
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1778
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1779
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1781
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1783
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1784
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1785
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1786
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1789
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1790
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1791
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1794
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1795
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1796
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1797
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1798
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1799
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1800
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1802
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1803
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1804
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1805
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1806
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1807
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1808
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1809
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1812
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1813
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1814
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1815
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1816
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1819
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1820
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1821
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1822
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1823
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1824
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1825
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1830
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1831
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1832
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1833
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1835
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1836
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1838
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1840
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1841
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1843
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1845
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1846
45,org.apache.commons.math.util.FastMath,buildSinCosTables,1849
45,org.apache.commons.math.util.FastMath,ceil,3368
45,org.apache.commons.math.util.FastMath,ceil,3372
45,org.apache.commons.math.util.FastMath,ceil,3373
45,org.apache.commons.math.util.FastMath,ceil,3374
45,org.apache.commons.math.util.FastMath,expint,1109
45,org.apache.commons.math.util.FastMath,expint,1110
45,org.apache.commons.math.util.FastMath,expint,1111
45,org.apache.commons.math.util.FastMath,expint,1120
45,org.apache.commons.math.util.FastMath,expint,1121
45,org.apache.commons.math.util.FastMath,expint,1123
45,org.apache.commons.math.util.FastMath,expint,1125
45,org.apache.commons.math.util.FastMath,expint,1126
45,org.apache.commons.math.util.FastMath,expint,1127
45,org.apache.commons.math.util.FastMath,expint,1128
45,org.apache.commons.math.util.FastMath,expint,1131
45,org.apache.commons.math.util.FastMath,expint,1132
45,org.apache.commons.math.util.FastMath,expint,1134
45,org.apache.commons.math.util.FastMath,expint,1137
45,org.apache.commons.math.util.FastMath,expint,1138
45,org.apache.commons.math.util.FastMath,expint,1139
45,org.apache.commons.math.util.FastMath,expint,1141
45,org.apache.commons.math.util.FastMath,expint,1144
45,org.apache.commons.math.util.FastMath,floor,3341
45,org.apache.commons.math.util.FastMath,floor,3345
45,org.apache.commons.math.util.FastMath,floor,3349
45,org.apache.commons.math.util.FastMath,floor,3350
45,org.apache.commons.math.util.FastMath,floor,3354
45,org.apache.commons.math.util.FastMath,floor,3358
45,org.apache.commons.math.util.FastMath,quadMult,1054
45,org.apache.commons.math.util.FastMath,quadMult,1055
45,org.apache.commons.math.util.FastMath,quadMult,1056
45,org.apache.commons.math.util.FastMath,quadMult,1059
45,org.apache.commons.math.util.FastMath,quadMult,1060
45,org.apache.commons.math.util.FastMath,quadMult,1061
45,org.apache.commons.math.util.FastMath,quadMult,1063
45,org.apache.commons.math.util.FastMath,quadMult,1064
