bug,class,method,line
46,org.apache.commons.math.complex.Complex,<clinit>,58
46,org.apache.commons.math.complex.Complex,<clinit>,61
46,org.apache.commons.math.complex.Complex,<clinit>,64
46,org.apache.commons.math.complex.Complex,<clinit>,66
46,org.apache.commons.math.complex.Complex,<clinit>,68
46,org.apache.commons.math.complex.Complex,<init>,97
46,org.apache.commons.math.complex.Complex,<init>,98
46,org.apache.commons.math.complex.Complex,<init>,99
46,org.apache.commons.math.complex.Complex,<init>,101
46,org.apache.commons.math.complex.Complex,<init>,102
46,org.apache.commons.math.complex.Complex,<init>,104
46,org.apache.commons.math.complex.Complex,add,156
46,org.apache.commons.math.complex.Complex,add,157
46,org.apache.commons.math.complex.Complex,add,161
46,org.apache.commons.math.complex.Complex,createComplex,1122
46,org.apache.commons.math.complex.Complex,getImaginary,350
46,org.apache.commons.math.complex.Complex,getReal,359
46,org.apache.commons.math.util.MathUtils,<clinit>,85
46,org.apache.commons.math.util.MathUtils,checkNotNull,2334
46,org.apache.commons.math.util.MathUtils,checkNotNull,2337
