bug,class,method,line
46,org.apache.commons.math.complex.Complex,<clinit>,58
46,org.apache.commons.math.complex.Complex,<clinit>,61
46,org.apache.commons.math.complex.Complex,<clinit>,64
46,org.apache.commons.math.complex.Complex,<clinit>,66
46,org.apache.commons.math.complex.Complex,<clinit>,68
46,org.apache.commons.math.complex.Complex,<init>,97
46,org.apache.commons.math.complex.Complex,<init>,98
46,org.apache.commons.math.complex.Complex,<init>,99
46,org.apache.commons.math.complex.Complex,<init>,101
46,org.apache.commons.math.complex.Complex,<init>,102
46,org.apache.commons.math.complex.Complex,<init>,104
46,org.apache.commons.math.complex.Complex,abs,115
46,org.apache.commons.math.complex.Complex,abs,118
46,org.apache.commons.math.complex.Complex,abs,121
46,org.apache.commons.math.complex.Complex,abs,122
46,org.apache.commons.math.complex.Complex,abs,125
46,org.apache.commons.math.complex.Complex,abs,126
46,org.apache.commons.math.complex.Complex,createComplex,1122
46,org.apache.commons.math.complex.Complex,exp,696
46,org.apache.commons.math.complex.Complex,exp,700
46,org.apache.commons.math.complex.Complex,exp,701
46,org.apache.commons.math.complex.Complex,getImaginary,350
46,org.apache.commons.math.complex.Complex,getReal,359
46,org.apache.commons.math.complex.Complex,isInfinite,383
46,org.apache.commons.math.complex.Complex,log,741
46,org.apache.commons.math.complex.Complex,log,745
46,org.apache.commons.math.complex.Complex,multiply,412
46,org.apache.commons.math.complex.Complex,multiply,413
46,org.apache.commons.math.complex.Complex,multiply,416
46,org.apache.commons.math.complex.Complex,multiply,423
46,org.apache.commons.math.complex.Complex,pow,771
46,org.apache.commons.math.complex.Complex,pow,772
46,org.apache.commons.math.util.FastMath,<clinit>,80
46,org.apache.commons.math.util.FastMath,<clinit>,85
46,org.apache.commons.math.util.FastMath,<clinit>,90
46,org.apache.commons.math.util.FastMath,<clinit>,95
46,org.apache.commons.math.util.FastMath,<clinit>,98
46,org.apache.commons.math.util.FastMath,<clinit>,101
46,org.apache.commons.math.util.FastMath,<clinit>,110
46,org.apache.commons.math.util.FastMath,<clinit>,130
46,org.apache.commons.math.util.FastMath,<clinit>,143
46,org.apache.commons.math.util.FastMath,<clinit>,153
46,org.apache.commons.math.util.FastMath,<clinit>,156
46,org.apache.commons.math.util.FastMath,<clinit>,159
46,org.apache.commons.math.util.FastMath,<clinit>,162
46,org.apache.commons.math.util.FastMath,<clinit>,165
46,org.apache.commons.math.util.FastMath,<clinit>,168
46,org.apache.commons.math.util.FastMath,<clinit>,171
46,org.apache.commons.math.util.FastMath,<clinit>,192
46,org.apache.commons.math.util.FastMath,<clinit>,200
46,org.apache.commons.math.util.FastMath,<clinit>,203
46,org.apache.commons.math.util.FastMath,<clinit>,233
46,org.apache.commons.math.util.FastMath,<clinit>,234
46,org.apache.commons.math.util.FastMath,<clinit>,235
46,org.apache.commons.math.util.FastMath,<clinit>,238
46,org.apache.commons.math.util.FastMath,<clinit>,239
46,org.apache.commons.math.util.FastMath,<clinit>,242
46,org.apache.commons.math.util.FastMath,<clinit>,243
46,org.apache.commons.math.util.FastMath,<clinit>,244
46,org.apache.commons.math.util.FastMath,<clinit>,245
46,org.apache.commons.math.util.FastMath,<clinit>,247
46,org.apache.commons.math.util.FastMath,<clinit>,249
46,org.apache.commons.math.util.FastMath,<clinit>,250
46,org.apache.commons.math.util.FastMath,<clinit>,251
46,org.apache.commons.math.util.FastMath,<clinit>,256
46,org.apache.commons.math.util.FastMath,<clinit>,257
46,org.apache.commons.math.util.FastMath,<clinit>,258
46,org.apache.commons.math.util.FastMath,<clinit>,259
46,org.apache.commons.math.util.FastMath,<clinit>,263
46,org.apache.commons.math.util.FastMath,<clinit>,264
46,org.apache.commons.math.util.FastMath,<clinit>,265
46,org.apache.commons.math.util.FastMath,<clinit>,269
46,org.apache.commons.math.util.FastMath,<clinit>,270
46,org.apache.commons.math.util.FastMath,abs,3410
46,org.apache.commons.math.util.FastMath,atan,2823
46,org.apache.commons.math.util.FastMath,atan,2826
46,org.apache.commons.math.util.FastMath,atan,2830
46,org.apache.commons.math.util.FastMath,atan,2837
46,org.apache.commons.math.util.FastMath,atan,2842
46,org.apache.commons.math.util.FastMath,atan,2845
46,org.apache.commons.math.util.FastMath,atan,2846
46,org.apache.commons.math.util.FastMath,atan,2848
46,org.apache.commons.math.util.FastMath,atan,2849
46,org.apache.commons.math.util.FastMath,atan,2850
46,org.apache.commons.math.util.FastMath,atan,2852
46,org.apache.commons.math.util.FastMath,atan,2853
46,org.apache.commons.math.util.FastMath,atan,2854
46,org.apache.commons.math.util.FastMath,atan,2857
46,org.apache.commons.math.util.FastMath,atan,2858
46,org.apache.commons.math.util.FastMath,atan,2859
46,org.apache.commons.math.util.FastMath,atan,2860
46,org.apache.commons.math.util.FastMath,atan,2861
46,org.apache.commons.math.util.FastMath,atan,2864
46,org.apache.commons.math.util.FastMath,atan,2872
46,org.apache.commons.math.util.FastMath,atan,2873
46,org.apache.commons.math.util.FastMath,atan,2874
46,org.apache.commons.math.util.FastMath,atan,2875
46,org.apache.commons.math.util.FastMath,atan,2876
46,org.apache.commons.math.util.FastMath,atan,2877
46,org.apache.commons.math.util.FastMath,atan,2878
46,org.apache.commons.math.util.FastMath,atan,2880
46,org.apache.commons.math.util.FastMath,atan,2881
46,org.apache.commons.math.util.FastMath,atan,2883
46,org.apache.commons.math.util.FastMath,atan,2884
46,org.apache.commons.math.util.FastMath,atan,2885
46,org.apache.commons.math.util.FastMath,atan,2887
46,org.apache.commons.math.util.FastMath,atan,2888
46,org.apache.commons.math.util.FastMath,atan,2889
46,org.apache.commons.math.util.FastMath,atan,2892
46,org.apache.commons.math.util.FastMath,atan,2894
46,org.apache.commons.math.util.FastMath,atan,2895
46,org.apache.commons.math.util.FastMath,atan,2899
46,org.apache.commons.math.util.FastMath,atan,2900
46,org.apache.commons.math.util.FastMath,atan,2903
46,org.apache.commons.math.util.FastMath,atan,2914
46,org.apache.commons.math.util.FastMath,atan,2915
46,org.apache.commons.math.util.FastMath,atan,2916
46,org.apache.commons.math.util.FastMath,atan,2917
46,org.apache.commons.math.util.FastMath,atan,2918
46,org.apache.commons.math.util.FastMath,atan,2919
46,org.apache.commons.math.util.FastMath,atan,2920
46,org.apache.commons.math.util.FastMath,atan,2923
46,org.apache.commons.math.util.FastMath,atan,2925
46,org.apache.commons.math.util.FastMath,atan,2926
46,org.apache.commons.math.util.FastMath,atan,2927
46,org.apache.commons.math.util.FastMath,atan,2930
46,org.apache.commons.math.util.FastMath,atan,2936
46,org.apache.commons.math.util.FastMath,atan,2937
46,org.apache.commons.math.util.FastMath,atan,2938
46,org.apache.commons.math.util.FastMath,atan,2939
46,org.apache.commons.math.util.FastMath,atan,2940
