bug,class,method,line
46,org.apache.commons.math.complex.Complex,<clinit>,58
46,org.apache.commons.math.complex.Complex,<clinit>,61
46,org.apache.commons.math.complex.Complex,<clinit>,64
46,org.apache.commons.math.complex.Complex,<clinit>,66
46,org.apache.commons.math.complex.Complex,<clinit>,68
46,org.apache.commons.math.complex.Complex,<init>,88
46,org.apache.commons.math.complex.Complex,<init>,89
46,org.apache.commons.math.complex.Complex,<init>,97
46,org.apache.commons.math.complex.Complex,<init>,98
46,org.apache.commons.math.complex.Complex,<init>,99
46,org.apache.commons.math.complex.Complex,<init>,101
46,org.apache.commons.math.complex.Complex,<init>,102
46,org.apache.commons.math.complex.Complex,<init>,104
46,org.apache.commons.math.complex.Complex,equals,314
46,org.apache.commons.math.complex.Complex,equals,315
46,org.apache.commons.math.complex.Complex,multiply,436
46,org.apache.commons.math.complex.Complex,multiply,439
46,org.apache.commons.math.complex.Complex,multiply,443
46,org.apache.commons.math.complex.Complex,multiply,412
46,org.apache.commons.math.complex.Complex,multiply,413
46,org.apache.commons.math.complex.Complex,multiply,416
46,org.apache.commons.math.complex.Complex,multiply,421
46,org.apache.commons.math.util.MathUtils,<clinit>,85
46,org.apache.commons.math.util.MathUtils,checkNotNull,2334
46,org.apache.commons.math.util.MathUtils,checkNotNull,2337
