bug,class,method,line
48,org.apache.commons.math.analysis.solvers.AbstractUnivariateRealSolver,<init>,37
48,org.apache.commons.math.analysis.solvers.AbstractUnivariateRealSolver,<init>,38
48,org.apache.commons.math.analysis.solvers.AllowedSolution,<clinit>,41
48,org.apache.commons.math.analysis.solvers.AllowedSolution,<clinit>,48
48,org.apache.commons.math.analysis.solvers.AllowedSolution,<clinit>,55
48,org.apache.commons.math.analysis.solvers.AllowedSolution,<clinit>,62
48,org.apache.commons.math.analysis.solvers.AllowedSolution,<clinit>,68
48,org.apache.commons.math.analysis.solvers.AllowedSolution,<clinit>,74
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,<init>,65
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,<init>,68
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,<init>,49
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,<init>,92
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,<init>,93
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,<init>,94
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,<init>,95
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,<init>,96
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,computeObjectiveValue,153
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,computeObjectiveValue,154
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,getAbsoluteAccuracy,128
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,getEvaluations,104
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,getFunctionValueAccuracy,140
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,getMax,116
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,getMin,110
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,getRelativeAccuracy,134
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,incrementEvaluationCount,294
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,incrementEvaluationCount,297
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,incrementEvaluationCount,298
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,setup,173
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,setup,176
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,setup,177
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,setup,178
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,setup,179
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,setup,180
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,setup,181
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,setup,182
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,solve,195
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,solve,187
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,solve,190
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,verifyBracketing,282
48,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,verifyBracketing,283
48,org.apache.commons.math.analysis.solvers.BaseSecantSolver,<init>,68
48,org.apache.commons.math.analysis.solvers.BaseSecantSolver,<init>,69
48,org.apache.commons.math.analysis.solvers.BaseSecantSolver,<init>,70
