bug,class,method,line
50,org.apache.commons.math.analysis.solvers.AbstractUnivariateRealSolver,<init>,37
50,org.apache.commons.math.analysis.solvers.AbstractUnivariateRealSolver,<init>,38
50,org.apache.commons.math.analysis.solvers.AllowedSolution,<clinit>,41
50,org.apache.commons.math.analysis.solvers.AllowedSolution,<clinit>,48
50,org.apache.commons.math.analysis.solvers.AllowedSolution,<clinit>,55
50,org.apache.commons.math.analysis.solvers.AllowedSolution,<clinit>,62
50,org.apache.commons.math.analysis.solvers.AllowedSolution,<clinit>,68
50,org.apache.commons.math.analysis.solvers.AllowedSolution,<clinit>,74
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,<init>,65
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,<init>,68
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,<init>,49
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,<init>,92
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,<init>,93
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,<init>,94
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,<init>,95
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,<init>,96
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,computeObjectiveValue,153
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,computeObjectiveValue,154
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,getAbsoluteAccuracy,128
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,getFunctionValueAccuracy,140
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,getMax,116
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,getMin,110
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,getRelativeAccuracy,134
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,incrementEvaluationCount,294
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,incrementEvaluationCount,297
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,incrementEvaluationCount,298
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,setup,173
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,setup,176
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,setup,177
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,setup,178
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,setup,179
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,setup,180
50,org.apache.commons.math.analysis.solvers.BaseAbstractUnivariateRealSolver,setup,181
