bug,class,method,line
64,org.apache.commons.math.optimization.SimpleVectorialValueChecker,<init>,50
64,org.apache.commons.math.optimization.SimpleVectorialValueChecker,<init>,51
64,org.apache.commons.math.optimization.SimpleVectorialValueChecker,<init>,52
64,org.apache.commons.math.optimization.SimpleVectorialValueChecker,<init>,53
64,org.apache.commons.math.optimization.VectorialPointValuePair,<init>,46
64,org.apache.commons.math.optimization.VectorialPointValuePair,<init>,47
64,org.apache.commons.math.optimization.VectorialPointValuePair,<init>,48
64,org.apache.commons.math.optimization.VectorialPointValuePair,<init>,49
64,org.apache.commons.math.optimization.VectorialPointValuePair,getPointRef,77
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,<init>,115
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,<init>,116
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,<init>,117
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,<init>,118
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,<init>,119
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,getRMS,239
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,getRMS,240
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,getRMS,241
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,getRMS,242
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,getRMS,244
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,incrementIterationsCounter,172
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,incrementIterationsCounter,175
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,optimize,329
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,optimize,335
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,optimize,336
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,optimize,337
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,optimize,340
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,optimize,341
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,optimize,342
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,optimize,343
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,optimize,344
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,optimize,345
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,optimize,348
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,optimize,349
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,optimize,350
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,optimize,352
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,optimize,354
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,setConvergenceChecker,158
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,setConvergenceChecker,159
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,setMaxEvaluations,138
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,setMaxEvaluations,139
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,setMaxIterations,123
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,setMaxIterations,124
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,updateJacobian,183
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,updateJacobian,184
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,updateJacobian,185
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,updateJacobian,189
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,updateJacobian,190
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,updateJacobian,191
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,updateJacobian,192
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,updateJacobian,193
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,updateJacobian,196
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,updateResidualsAndCost,207
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,updateResidualsAndCost,211
64,org.apache.commons.math.optimization.general.AbstractLeastSquaresOptimizer,updateResidualsAndCost,212
