bug,class,method,line
75,org.apache.commons.math.stat.Frequency,<init>,59
75,org.apache.commons.math.stat.Frequency,<init>,60
75,org.apache.commons.math.stat.Frequency,<init>,61
75,org.apache.commons.math.stat.Frequency,addValue,158
75,org.apache.commons.math.stat.Frequency,addValue,159
75,org.apache.commons.math.stat.Frequency,addValue,133
75,org.apache.commons.math.stat.Frequency,addValue,134
75,org.apache.commons.math.stat.Frequency,addValue,135
75,org.apache.commons.math.stat.Frequency,addValue,138
75,org.apache.commons.math.stat.Frequency,addValue,139
75,org.apache.commons.math.stat.Frequency,addValue,140
75,org.apache.commons.math.stat.Frequency,addValue,142
75,org.apache.commons.math.stat.Frequency,addValue,149
75,org.apache.commons.math.stat.Frequency,addValue,150
75,org.apache.commons.math.stat.Frequency,addValue,167
75,org.apache.commons.math.stat.Frequency,addValue,168
75,org.apache.commons.math.stat.Frequency,getCount,265
75,org.apache.commons.math.stat.Frequency,getCount,275
75,org.apache.commons.math.stat.Frequency,getCount,243
75,org.apache.commons.math.stat.Frequency,getCount,244
75,org.apache.commons.math.stat.Frequency,getCount,246
75,org.apache.commons.math.stat.Frequency,getCount,248
75,org.apache.commons.math.stat.Frequency,getCount,249
75,org.apache.commons.math.stat.Frequency,getCount,250
75,org.apache.commons.math.stat.Frequency,getCount,254
75,org.apache.commons.math.stat.Frequency,getCount,255
75,org.apache.commons.math.stat.Frequency,getCumFreq,443
75,org.apache.commons.math.stat.Frequency,getCumFreq,381
75,org.apache.commons.math.stat.Frequency,getCumFreq,384
75,org.apache.commons.math.stat.Frequency,getCumFreq,385
75,org.apache.commons.math.stat.Frequency,getCumFreq,387
75,org.apache.commons.math.stat.Frequency,getCumFreq,388
75,org.apache.commons.math.stat.Frequency,getCumFreq,389
75,org.apache.commons.math.stat.Frequency,getCumFreq,391
75,org.apache.commons.math.stat.Frequency,getCumFreq,394
75,org.apache.commons.math.stat.Frequency,getCumFreq,395
75,org.apache.commons.math.stat.Frequency,getCumFreq,396
75,org.apache.commons.math.stat.Frequency,getCumFreq,400
75,org.apache.commons.math.stat.Frequency,getCumFreq,402
75,org.apache.commons.math.stat.Frequency,getCumFreq,406
75,org.apache.commons.math.stat.Frequency,getCumFreq,410
75,org.apache.commons.math.stat.Frequency,getCumFreq,411
75,org.apache.commons.math.stat.Frequency,getCumFreq,412
75,org.apache.commons.math.stat.Frequency,getCumFreq,413
75,org.apache.commons.math.stat.Frequency,getCumFreq,416
75,org.apache.commons.math.stat.Frequency,getCumPct,507
75,org.apache.commons.math.stat.Frequency,getCumPct,490
75,org.apache.commons.math.stat.Frequency,getCumPct,491
75,org.apache.commons.math.stat.Frequency,getCumPct,494
75,org.apache.commons.math.stat.Frequency,getSumFreq,214
75,org.apache.commons.math.stat.Frequency,getSumFreq,215
75,org.apache.commons.math.stat.Frequency,getSumFreq,216
75,org.apache.commons.math.stat.Frequency,getSumFreq,217
75,org.apache.commons.math.stat.Frequency,getSumFreq,219
75,org.apache.commons.math.stat.Frequency,valuesIterator,203
75,org.apache.commons.math.stat.Frequency$NaturalComparator,<init>,540
75,org.apache.commons.math.stat.Frequency$NaturalComparator,compare,560
