bug,class,method,line
75,org.apache.commons.math.stat.Frequency,<init>,59
75,org.apache.commons.math.stat.Frequency,<init>,60
75,org.apache.commons.math.stat.Frequency,<init>,61
75,org.apache.commons.math.stat.Frequency,addValue,158
75,org.apache.commons.math.stat.Frequency,addValue,159
75,org.apache.commons.math.stat.Frequency,addValue,176
75,org.apache.commons.math.stat.Frequency,addValue,177
75,org.apache.commons.math.stat.Frequency,addValue,133
75,org.apache.commons.math.stat.Frequency,addValue,134
75,org.apache.commons.math.stat.Frequency,addValue,138
75,org.apache.commons.math.stat.Frequency,addValue,139
75,org.apache.commons.math.stat.Frequency,addValue,140
75,org.apache.commons.math.stat.Frequency,addValue,142
75,org.apache.commons.math.stat.Frequency,addValue,149
75,org.apache.commons.math.stat.Frequency,addValue,150
75,org.apache.commons.math.stat.Frequency,equals,577
75,org.apache.commons.math.stat.Frequency,equals,579
75,org.apache.commons.math.stat.Frequency,equals,581
75,org.apache.commons.math.stat.Frequency,equals,583
75,org.apache.commons.math.stat.Frequency,equals,584
75,org.apache.commons.math.stat.Frequency,equals,587
75,org.apache.commons.math.stat.Frequency,equals,589
