bug,class,method,line
75,org.apache.commons.math.MathRuntimeException,buildMessage,87
75,org.apache.commons.math.MathRuntimeException,createIllegalArgumentException,282
75,org.apache.commons.math.MathRuntimeException,translate,61
75,org.apache.commons.math.MathRuntimeException,translate,68
75,org.apache.commons.math.MathRuntimeException,translate,74
75,org.apache.commons.math.MathRuntimeException$4,<init>,282
75,org.apache.commons.math.stat.Frequency,<init>,59
75,org.apache.commons.math.stat.Frequency,<init>,60
75,org.apache.commons.math.stat.Frequency,<init>,61
75,org.apache.commons.math.stat.Frequency,addValue,184
75,org.apache.commons.math.stat.Frequency,addValue,185
75,org.apache.commons.math.stat.Frequency,addValue,157
75,org.apache.commons.math.stat.Frequency,addValue,132
75,org.apache.commons.math.stat.Frequency,addValue,133
75,org.apache.commons.math.stat.Frequency,addValue,137
75,org.apache.commons.math.stat.Frequency,addValue,138
75,org.apache.commons.math.stat.Frequency,addValue,139
75,org.apache.commons.math.stat.Frequency,addValue,143
75,org.apache.commons.math.stat.Frequency,addValue,145
75,org.apache.commons.math.stat.Frequency,addValue,148
75,org.apache.commons.math.stat.Frequency,addValue,149
75,org.apache.commons.math.stat.Frequency,getCount,229
75,org.apache.commons.math.stat.Frequency,getCount,232
75,org.apache.commons.math.stat.Frequency,getCount,234
75,org.apache.commons.math.stat.Frequency,getCount,235
75,org.apache.commons.math.stat.Frequency,getCount,236
75,org.apache.commons.math.stat.Frequency,getCount,238
75,org.apache.commons.math.stat.Frequency,getCount,240
75,org.apache.commons.math.stat.Frequency,getCount,241
75,org.apache.commons.math.stat.Frequency,getCumFreq,337
75,org.apache.commons.math.stat.Frequency,getCumFreq,340
75,org.apache.commons.math.stat.Frequency,getCumFreq,343
75,org.apache.commons.math.stat.Frequency,getCumFreq,344
75,org.apache.commons.math.stat.Frequency,getCumFreq,345
75,org.apache.commons.math.stat.Frequency,getCumFreq,347
75,org.apache.commons.math.stat.Frequency,getCumFreq,350
75,org.apache.commons.math.stat.Frequency,getCumFreq,351
75,org.apache.commons.math.stat.Frequency,getCumFreq,352
75,org.apache.commons.math.stat.Frequency,getCumFreq,354
75,org.apache.commons.math.stat.Frequency,getCumFreq,355
75,org.apache.commons.math.stat.Frequency,getCumFreq,356
75,org.apache.commons.math.stat.Frequency,getCumFreq,358
75,org.apache.commons.math.stat.Frequency,getCumFreq,362
75,org.apache.commons.math.stat.Frequency,getCumFreq,363
75,org.apache.commons.math.stat.Frequency,getCumPct,471
75,org.apache.commons.math.stat.Frequency,getCumPct,428
75,org.apache.commons.math.stat.Frequency,getCumPct,429
75,org.apache.commons.math.stat.Frequency,getCumPct,432
75,org.apache.commons.math.stat.Frequency,getPct,323
75,org.apache.commons.math.stat.Frequency,getPct,286
75,org.apache.commons.math.stat.Frequency,getPct,287
75,org.apache.commons.math.stat.Frequency,getPct,290
75,org.apache.commons.math.stat.Frequency,getSumFreq,213
75,org.apache.commons.math.stat.Frequency,getSumFreq,214
75,org.apache.commons.math.stat.Frequency,getSumFreq,215
75,org.apache.commons.math.stat.Frequency,getSumFreq,216
75,org.apache.commons.math.stat.Frequency,getSumFreq,218
75,org.apache.commons.math.stat.Frequency$NaturalComparator,<init>,478
75,org.apache.commons.math.stat.Frequency$NaturalComparator,compare,498
