bug,class,method,line
75,org.apache.commons.math.stat.Frequency,<init>,59
75,org.apache.commons.math.stat.Frequency,<init>,60
75,org.apache.commons.math.stat.Frequency,<init>,61
75,org.apache.commons.math.stat.Frequency,<init>,68
75,org.apache.commons.math.stat.Frequency,<init>,69
75,org.apache.commons.math.stat.Frequency,<init>,70
75,org.apache.commons.math.stat.Frequency,addValue,184
75,org.apache.commons.math.stat.Frequency,addValue,185
75,org.apache.commons.math.stat.Frequency,addValue,157
75,org.apache.commons.math.stat.Frequency,addValue,158
75,org.apache.commons.math.stat.Frequency,addValue,175
75,org.apache.commons.math.stat.Frequency,addValue,176
75,org.apache.commons.math.stat.Frequency,addValue,132
75,org.apache.commons.math.stat.Frequency,addValue,133
75,org.apache.commons.math.stat.Frequency,addValue,137
75,org.apache.commons.math.stat.Frequency,addValue,138
75,org.apache.commons.math.stat.Frequency,addValue,139
75,org.apache.commons.math.stat.Frequency,addValue,141
75,org.apache.commons.math.stat.Frequency,addValue,148
75,org.apache.commons.math.stat.Frequency,addValue,149
75,org.apache.commons.math.stat.Frequency,addValue,166
75,org.apache.commons.math.stat.Frequency,addValue,167
75,org.apache.commons.math.stat.Frequency,clear,189
75,org.apache.commons.math.stat.Frequency,clear,190
75,org.apache.commons.math.stat.Frequency,getCount,271
75,org.apache.commons.math.stat.Frequency,getCount,251
75,org.apache.commons.math.stat.Frequency,getCount,261
75,org.apache.commons.math.stat.Frequency,getCount,229
75,org.apache.commons.math.stat.Frequency,getCount,230
75,org.apache.commons.math.stat.Frequency,getCount,232
75,org.apache.commons.math.stat.Frequency,getCount,234
75,org.apache.commons.math.stat.Frequency,getCount,235
75,org.apache.commons.math.stat.Frequency,getCount,236
75,org.apache.commons.math.stat.Frequency,getCount,240
75,org.apache.commons.math.stat.Frequency,getCount,241
75,org.apache.commons.math.stat.Frequency,getCumFreq,411
75,org.apache.commons.math.stat.Frequency,getCumFreq,387
75,org.apache.commons.math.stat.Frequency,getCumFreq,399
75,org.apache.commons.math.stat.Frequency,getCumFreq,337
75,org.apache.commons.math.stat.Frequency,getCumFreq,338
75,org.apache.commons.math.stat.Frequency,getCumFreq,340
75,org.apache.commons.math.stat.Frequency,getCumFreq,341
75,org.apache.commons.math.stat.Frequency,getCumFreq,343
75,org.apache.commons.math.stat.Frequency,getCumFreq,344
75,org.apache.commons.math.stat.Frequency,getCumFreq,345
75,org.apache.commons.math.stat.Frequency,getCumFreq,347
75,org.apache.commons.math.stat.Frequency,getCumFreq,350
75,org.apache.commons.math.stat.Frequency,getCumFreq,351
75,org.apache.commons.math.stat.Frequency,getCumFreq,352
75,org.apache.commons.math.stat.Frequency,getCumFreq,354
75,org.apache.commons.math.stat.Frequency,getCumFreq,355
75,org.apache.commons.math.stat.Frequency,getCumFreq,356
75,org.apache.commons.math.stat.Frequency,getCumFreq,358
75,org.apache.commons.math.stat.Frequency,getCumFreq,359
75,org.apache.commons.math.stat.Frequency,getCumFreq,362
75,org.apache.commons.math.stat.Frequency,getCumFreq,363
75,org.apache.commons.math.stat.Frequency,getCumFreq,366
75,org.apache.commons.math.stat.Frequency,getCumFreq,367
75,org.apache.commons.math.stat.Frequency,getCumFreq,368
75,org.apache.commons.math.stat.Frequency,getCumFreq,369
75,org.apache.commons.math.stat.Frequency,getCumFreq,370
75,org.apache.commons.math.stat.Frequency,getCumFreq,372
75,org.apache.commons.math.stat.Frequency,getCumFreq,374
75,org.apache.commons.math.stat.Frequency,getCumPct,471
75,org.apache.commons.math.stat.Frequency,getCumPct,445
75,org.apache.commons.math.stat.Frequency,getCumPct,428
75,org.apache.commons.math.stat.Frequency,getCumPct,429
75,org.apache.commons.math.stat.Frequency,getCumPct,430
75,org.apache.commons.math.stat.Frequency,getCumPct,432
75,org.apache.commons.math.stat.Frequency,getPct,323
75,org.apache.commons.math.stat.Frequency,getPct,286
75,org.apache.commons.math.stat.Frequency,getPct,287
75,org.apache.commons.math.stat.Frequency,getPct,288
75,org.apache.commons.math.stat.Frequency,getPct,290
75,org.apache.commons.math.stat.Frequency,getSumFreq,213
75,org.apache.commons.math.stat.Frequency,getSumFreq,214
75,org.apache.commons.math.stat.Frequency,getSumFreq,215
75,org.apache.commons.math.stat.Frequency,getSumFreq,216
75,org.apache.commons.math.stat.Frequency,getSumFreq,218
75,org.apache.commons.math.stat.Frequency,valuesIterator,202
75,org.apache.commons.math.stat.Frequency$NaturalComparator,<init>,478
75,org.apache.commons.math.stat.Frequency$NaturalComparator,compare,498
