bug,class,method,line
75,org.apache.commons.math.stat.Frequency,<init>,59
75,org.apache.commons.math.stat.Frequency,<init>,60
75,org.apache.commons.math.stat.Frequency,<init>,61
75,org.apache.commons.math.stat.Frequency,addValue,157
75,org.apache.commons.math.stat.Frequency,addValue,158
75,org.apache.commons.math.stat.Frequency,addValue,175
75,org.apache.commons.math.stat.Frequency,addValue,176
75,org.apache.commons.math.stat.Frequency,addValue,132
75,org.apache.commons.math.stat.Frequency,addValue,133
75,org.apache.commons.math.stat.Frequency,addValue,137
75,org.apache.commons.math.stat.Frequency,addValue,138
75,org.apache.commons.math.stat.Frequency,addValue,139
75,org.apache.commons.math.stat.Frequency,addValue,141
75,org.apache.commons.math.stat.Frequency,addValue,148
75,org.apache.commons.math.stat.Frequency,addValue,149
75,org.apache.commons.math.stat.Frequency,equals,515
75,org.apache.commons.math.stat.Frequency,equals,517
75,org.apache.commons.math.stat.Frequency,equals,519
75,org.apache.commons.math.stat.Frequency,equals,521
75,org.apache.commons.math.stat.Frequency,equals,522
75,org.apache.commons.math.stat.Frequency,equals,525
75,org.apache.commons.math.stat.Frequency,equals,527
