bug,class,method,line
87,org.apache.commons.math.ConvergenceException,<init>,45
87,org.apache.commons.math.ConvergenceException,<init>,46
87,org.apache.commons.math.MathException,<init>,106
87,org.apache.commons.math.MathException,<init>,107
87,org.apache.commons.math.MathException,<init>,108
87,org.apache.commons.math.MathException,<init>,109
87,org.apache.commons.math.MathException,buildMessage,85
87,org.apache.commons.math.MathException,translate,60
87,org.apache.commons.math.MathException,translate,67
87,org.apache.commons.math.MathException,translate,73
87,org.apache.commons.math.linear.AbstractRealMatrix,<init>,43
87,org.apache.commons.math.linear.AbstractRealMatrix,<init>,44
87,org.apache.commons.math.linear.AbstractRealMatrix,<init>,45
87,org.apache.commons.math.linear.RealMatrixImpl,<init>,94
87,org.apache.commons.math.linear.RealMatrixImpl,<init>,95
87,org.apache.commons.math.linear.RealMatrixImpl,<init>,96
87,org.apache.commons.math.linear.RealMatrixImpl,copyIn,622
87,org.apache.commons.math.linear.RealMatrixImpl,copyIn,623
87,org.apache.commons.math.linear.RealMatrixImpl,getColumnDimension,410
87,org.apache.commons.math.linear.RealMatrixImpl,getEntry,354
87,org.apache.commons.math.linear.RealMatrixImpl,getRowDimension,404
87,org.apache.commons.math.linear.RealMatrixImpl,setEntry,367
87,org.apache.commons.math.linear.RealMatrixImpl,setEntry,372
87,org.apache.commons.math.linear.RealMatrixImpl,setEntry,373
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,314
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,315
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,320
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,325
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,326
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,330
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,331
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,334
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,335
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,336
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,341
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,343
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,347
87,org.apache.commons.math.linear.RealVectorFormat,<init>,117
87,org.apache.commons.math.linear.RealVectorFormat,<init>,118
87,org.apache.commons.math.linear.RealVectorFormat,<init>,119
87,org.apache.commons.math.linear.RealVectorFormat,<init>,120
87,org.apache.commons.math.linear.RealVectorFormat,<init>,121
87,org.apache.commons.math.linear.RealVectorFormat,<init>,122
87,org.apache.commons.math.linear.RealVectorFormat,<init>,123
87,org.apache.commons.math.linear.RealVectorFormat,<init>,124
87,org.apache.commons.math.linear.RealVectorFormat,<init>,125
87,org.apache.commons.math.linear.RealVectorFormat,<init>,94
87,org.apache.commons.math.linear.RealVectorFormat,<init>,95
87,org.apache.commons.math.linear.RealVectorFormat,getInstance,173
87,org.apache.commons.math.linear.RealVectorFormat,getInstance,182
87,org.apache.commons.math.linear.RealVectorImpl,<clinit>,36
87,org.apache.commons.math.linear.RealVectorImpl,<init>,77
87,org.apache.commons.math.linear.RealVectorImpl,<init>,78
87,org.apache.commons.math.linear.RealVectorImpl,<init>,79
87,org.apache.commons.math.linear.RealVectorImpl,getData,854
87,org.apache.commons.math.linear.RealVectorImpl,getDimension,1157
87,org.apache.commons.math.linear.RealVectorImpl,mapMultiply,338
87,org.apache.commons.math.linear.RealVectorImpl,mapMultiply,339
87,org.apache.commons.math.linear.RealVectorImpl,mapMultiply,340
87,org.apache.commons.math.linear.RealVectorImpl,mapMultiply,342
87,org.apache.commons.math.optimization.GoalType,<clinit>,27
87,org.apache.commons.math.optimization.GoalType,<clinit>,30
87,org.apache.commons.math.optimization.GoalType,<clinit>,33
87,org.apache.commons.math.optimization.OptimizationException,<init>,42
87,org.apache.commons.math.optimization.OptimizationException,<init>,43
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,<init>,61
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,<init>,62
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,<init>,63
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,incrementIterationsCounter,86
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,incrementIterationsCounter,91
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,optimize,100
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,optimize,101
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,optimize,102
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,optimize,103
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,optimize,105
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,optimize,108
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,setMaxIterations,67
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,setMaxIterations,68
87,org.apache.commons.math.optimization.linear.LinearConstraint,<init>,99
87,org.apache.commons.math.optimization.linear.LinearConstraint,<init>,100
87,org.apache.commons.math.optimization.linear.LinearConstraint,<init>,101
87,org.apache.commons.math.optimization.linear.LinearConstraint,<init>,102
87,org.apache.commons.math.optimization.linear.LinearConstraint,<init>,103
87,org.apache.commons.math.optimization.linear.LinearConstraint,<init>,81
87,org.apache.commons.math.optimization.linear.LinearConstraint,<init>,82
87,org.apache.commons.math.optimization.linear.LinearConstraint,getCoefficients,168
87,org.apache.commons.math.optimization.linear.LinearConstraint,getRelationship,176
87,org.apache.commons.math.optimization.linear.LinearConstraint,getValue,184
87,org.apache.commons.math.optimization.linear.LinearObjectiveFunction,<init>,65
87,org.apache.commons.math.optimization.linear.LinearObjectiveFunction,<init>,66
87,org.apache.commons.math.optimization.linear.LinearObjectiveFunction,<init>,67
87,org.apache.commons.math.optimization.linear.LinearObjectiveFunction,<init>,68
87,org.apache.commons.math.optimization.linear.LinearObjectiveFunction,<init>,58
87,org.apache.commons.math.optimization.linear.LinearObjectiveFunction,<init>,59
87,org.apache.commons.math.optimization.linear.LinearObjectiveFunction,getCoefficients,75
87,org.apache.commons.math.optimization.linear.LinearObjectiveFunction,getConstantTerm,83
87,org.apache.commons.math.optimization.linear.NoFeasibleSolutionException,<init>,37
87,org.apache.commons.math.optimization.linear.NoFeasibleSolutionException,<init>,38
87,org.apache.commons.math.optimization.linear.Relationship,<clinit>,25
87,org.apache.commons.math.optimization.linear.Relationship,<clinit>,28
87,org.apache.commons.math.optimization.linear.Relationship,<clinit>,31
87,org.apache.commons.math.optimization.linear.Relationship,<clinit>,34
87,org.apache.commons.math.optimization.linear.Relationship,<init>,42
87,org.apache.commons.math.optimization.linear.Relationship,<init>,43
87,org.apache.commons.math.optimization.linear.Relationship,<init>,44
87,org.apache.commons.math.optimization.linear.SimplexSolver,<init>,42
87,org.apache.commons.math.optimization.linear.SimplexSolver,<init>,43
87,org.apache.commons.math.optimization.linear.SimplexSolver,<init>,49
87,org.apache.commons.math.optimization.linear.SimplexSolver,<init>,50
