bug,class,method,line
87,org.apache.commons.math.linear.AbstractRealMatrix,<init>,43
87,org.apache.commons.math.linear.AbstractRealMatrix,<init>,44
87,org.apache.commons.math.linear.AbstractRealMatrix,<init>,45
87,org.apache.commons.math.linear.RealMatrixImpl,<init>,94
87,org.apache.commons.math.linear.RealMatrixImpl,<init>,95
87,org.apache.commons.math.linear.RealMatrixImpl,<init>,96
87,org.apache.commons.math.linear.RealMatrixImpl,copyIn,622
87,org.apache.commons.math.linear.RealMatrixImpl,copyIn,623
87,org.apache.commons.math.linear.RealMatrixImpl,getColumnDimension,410
87,org.apache.commons.math.linear.RealMatrixImpl,getEntry,354
87,org.apache.commons.math.linear.RealMatrixImpl,getRowDimension,404
87,org.apache.commons.math.linear.RealMatrixImpl,setEntry,367
87,org.apache.commons.math.linear.RealMatrixImpl,setEntry,372
87,org.apache.commons.math.linear.RealMatrixImpl,setEntry,373
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,314
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,315
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,320
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,325
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,326
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,330
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,331
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,334
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,335
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,336
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,341
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,343
87,org.apache.commons.math.linear.RealMatrixImpl,setSubMatrix,347
87,org.apache.commons.math.linear.RealVectorFormat,<init>,117
87,org.apache.commons.math.linear.RealVectorFormat,<init>,118
87,org.apache.commons.math.linear.RealVectorFormat,<init>,119
87,org.apache.commons.math.linear.RealVectorFormat,<init>,120
87,org.apache.commons.math.linear.RealVectorFormat,<init>,121
87,org.apache.commons.math.linear.RealVectorFormat,<init>,122
87,org.apache.commons.math.linear.RealVectorFormat,<init>,123
87,org.apache.commons.math.linear.RealVectorFormat,<init>,124
87,org.apache.commons.math.linear.RealVectorFormat,<init>,125
87,org.apache.commons.math.linear.RealVectorFormat,<init>,94
87,org.apache.commons.math.linear.RealVectorFormat,<init>,95
87,org.apache.commons.math.linear.RealVectorFormat,getInstance,173
87,org.apache.commons.math.linear.RealVectorFormat,getInstance,182
87,org.apache.commons.math.linear.RealVectorImpl,<clinit>,36
87,org.apache.commons.math.linear.RealVectorImpl,<init>,77
87,org.apache.commons.math.linear.RealVectorImpl,<init>,78
87,org.apache.commons.math.linear.RealVectorImpl,<init>,79
87,org.apache.commons.math.linear.RealVectorImpl,checkVectorDimensions,1287
87,org.apache.commons.math.linear.RealVectorImpl,checkVectorDimensions,1292
87,org.apache.commons.math.linear.RealVectorImpl,dotProduct,884
87,org.apache.commons.math.linear.RealVectorImpl,dotProduct,885
87,org.apache.commons.math.linear.RealVectorImpl,dotProduct,886
87,org.apache.commons.math.linear.RealVectorImpl,dotProduct,887
87,org.apache.commons.math.linear.RealVectorImpl,dotProduct,889
87,org.apache.commons.math.linear.RealVectorImpl,getData,854
87,org.apache.commons.math.linear.RealVectorImpl,getDimension,1157
87,org.apache.commons.math.linear.RealVectorImpl,mapMultiply,338
87,org.apache.commons.math.linear.RealVectorImpl,mapMultiply,339
87,org.apache.commons.math.linear.RealVectorImpl,mapMultiply,340
87,org.apache.commons.math.linear.RealVectorImpl,mapMultiply,342
87,org.apache.commons.math.optimization.GoalType,<clinit>,27
87,org.apache.commons.math.optimization.GoalType,<clinit>,30
87,org.apache.commons.math.optimization.GoalType,<clinit>,33
87,org.apache.commons.math.optimization.RealPointValuePair,<init>,48
87,org.apache.commons.math.optimization.RealPointValuePair,<init>,49
87,org.apache.commons.math.optimization.RealPointValuePair,<init>,50
87,org.apache.commons.math.optimization.RealPointValuePair,<init>,51
87,org.apache.commons.math.optimization.RealPointValuePair,getValue,86
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,<init>,61
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,<init>,62
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,<init>,63
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,incrementIterationsCounter,86
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,incrementIterationsCounter,91
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,optimize,100
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,optimize,101
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,optimize,102
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,optimize,103
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,optimize,105
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,optimize,108
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,setMaxIterations,67
87,org.apache.commons.math.optimization.linear.AbstractLinearOptimizer,setMaxIterations,68
87,org.apache.commons.math.optimization.linear.LinearConstraint,<init>,99
87,org.apache.commons.math.optimization.linear.LinearConstraint,<init>,100
87,org.apache.commons.math.optimization.linear.LinearConstraint,<init>,101
87,org.apache.commons.math.optimization.linear.LinearConstraint,<init>,102
87,org.apache.commons.math.optimization.linear.LinearConstraint,<init>,103
87,org.apache.commons.math.optimization.linear.LinearConstraint,<init>,81
87,org.apache.commons.math.optimization.linear.LinearConstraint,<init>,82
87,org.apache.commons.math.optimization.linear.LinearConstraint,getCoefficients,168
87,org.apache.commons.math.optimization.linear.LinearConstraint,getRelationship,176
87,org.apache.commons.math.optimization.linear.LinearConstraint,getValue,184
87,org.apache.commons.math.optimization.linear.LinearObjectiveFunction,<init>,65
87,org.apache.commons.math.optimization.linear.LinearObjectiveFunction,<init>,66
87,org.apache.commons.math.optimization.linear.LinearObjectiveFunction,<init>,67
87,org.apache.commons.math.optimization.linear.LinearObjectiveFunction,<init>,68
87,org.apache.commons.math.optimization.linear.LinearObjectiveFunction,<init>,58
87,org.apache.commons.math.optimization.linear.LinearObjectiveFunction,<init>,59
87,org.apache.commons.math.optimization.linear.LinearObjectiveFunction,getCoefficients,75
87,org.apache.commons.math.optimization.linear.LinearObjectiveFunction,getConstantTerm,83
87,org.apache.commons.math.optimization.linear.LinearObjectiveFunction,getValue,92
87,org.apache.commons.math.optimization.linear.Relationship,<clinit>,25
87,org.apache.commons.math.optimization.linear.Relationship,<clinit>,28
87,org.apache.commons.math.optimization.linear.Relationship,<clinit>,31
87,org.apache.commons.math.optimization.linear.Relationship,<clinit>,34
87,org.apache.commons.math.optimization.linear.Relationship,<init>,42
87,org.apache.commons.math.optimization.linear.Relationship,<init>,43
87,org.apache.commons.math.optimization.linear.Relationship,<init>,44
87,org.apache.commons.math.optimization.linear.SimplexSolver,<init>,42
87,org.apache.commons.math.optimization.linear.SimplexSolver,<init>,43
87,org.apache.commons.math.optimization.linear.SimplexSolver,<init>,49
87,org.apache.commons.math.optimization.linear.SimplexSolver,<init>,50
87,org.apache.commons.math.optimization.linear.SimplexSolver,<init>,51
87,org.apache.commons.math.optimization.linear.SimplexSolver,doIteration,102
87,org.apache.commons.math.optimization.linear.SimplexSolver,doIteration,104
87,org.apache.commons.math.optimization.linear.SimplexSolver,doIteration,105
87,org.apache.commons.math.optimization.linear.SimplexSolver,doIteration,106
87,org.apache.commons.math.optimization.linear.SimplexSolver,doIteration,111
87,org.apache.commons.math.optimization.linear.SimplexSolver,doIteration,112
87,org.apache.commons.math.optimization.linear.SimplexSolver,doIteration,115
87,org.apache.commons.math.optimization.linear.SimplexSolver,doIteration,116
87,org.apache.commons.math.optimization.linear.SimplexSolver,doIteration,117
87,org.apache.commons.math.optimization.linear.SimplexSolver,doIteration,118
87,org.apache.commons.math.optimization.linear.SimplexSolver,doIteration,121
87,org.apache.commons.math.optimization.linear.SimplexSolver,doOptimize,185
87,org.apache.commons.math.optimization.linear.SimplexSolver,doOptimize,187
87,org.apache.commons.math.optimization.linear.SimplexSolver,doOptimize,188
87,org.apache.commons.math.optimization.linear.SimplexSolver,doOptimize,189
87,org.apache.commons.math.optimization.linear.SimplexSolver,doOptimize,192
87,org.apache.commons.math.optimization.linear.SimplexSolver,getPivotColumn,59
87,org.apache.commons.math.optimization.linear.SimplexSolver,getPivotColumn,60
87,org.apache.commons.math.optimization.linear.SimplexSolver,getPivotColumn,61
87,org.apache.commons.math.optimization.linear.SimplexSolver,getPivotColumn,62
87,org.apache.commons.math.optimization.linear.SimplexSolver,getPivotColumn,63
87,org.apache.commons.math.optimization.linear.SimplexSolver,getPivotColumn,64
87,org.apache.commons.math.optimization.linear.SimplexSolver,getPivotColumn,67
87,org.apache.commons.math.optimization.linear.SimplexSolver,getPivotRow,77
87,org.apache.commons.math.optimization.linear.SimplexSolver,getPivotRow,78
87,org.apache.commons.math.optimization.linear.SimplexSolver,getPivotRow,79
87,org.apache.commons.math.optimization.linear.SimplexSolver,getPivotRow,80
87,org.apache.commons.math.optimization.linear.SimplexSolver,getPivotRow,81
87,org.apache.commons.math.optimization.linear.SimplexSolver,getPivotRow,82
87,org.apache.commons.math.optimization.linear.SimplexSolver,getPivotRow,83
87,org.apache.commons.math.optimization.linear.SimplexSolver,getPivotRow,84
87,org.apache.commons.math.optimization.linear.SimplexSolver,getPivotRow,85
87,org.apache.commons.math.optimization.linear.SimplexSolver,getPivotRow,89
87,org.apache.commons.math.optimization.linear.SimplexSolver,isOptimal,146
87,org.apache.commons.math.optimization.linear.SimplexSolver,isOptimal,149
87,org.apache.commons.math.optimization.linear.SimplexSolver,isOptimal,150
87,org.apache.commons.math.optimization.linear.SimplexSolver,isOptimal,154
87,org.apache.commons.math.optimization.linear.SimplexSolver,isPhase1Solved,129
87,org.apache.commons.math.optimization.linear.SimplexSolver,isPhase1Solved,132
87,org.apache.commons.math.optimization.linear.SimplexSolver,isPhase1Solved,133
87,org.apache.commons.math.optimization.linear.SimplexSolver,isPhase1Solved,134
87,org.apache.commons.math.optimization.linear.SimplexSolver,isPhase1Solved,137
87,org.apache.commons.math.optimization.linear.SimplexSolver,solvePhase1,167
87,org.apache.commons.math.optimization.linear.SimplexSolver,solvePhase1,171
87,org.apache.commons.math.optimization.linear.SimplexSolver,solvePhase1,172
87,org.apache.commons.math.optimization.linear.SimplexSolver,solvePhase1,176
87,org.apache.commons.math.optimization.linear.SimplexSolver,solvePhase1,179
87,org.apache.commons.math.optimization.linear.SimplexTableau,<init>,102
87,org.apache.commons.math.optimization.linear.SimplexTableau,<init>,103
87,org.apache.commons.math.optimization.linear.SimplexTableau,<init>,104
87,org.apache.commons.math.optimization.linear.SimplexTableau,<init>,105
87,org.apache.commons.math.optimization.linear.SimplexTableau,<init>,106
87,org.apache.commons.math.optimization.linear.SimplexTableau,<init>,107
87,org.apache.commons.math.optimization.linear.SimplexTableau,<init>,108
87,org.apache.commons.math.optimization.linear.SimplexTableau,<init>,110
87,org.apache.commons.math.optimization.linear.SimplexTableau,<init>,112
87,org.apache.commons.math.optimization.linear.SimplexTableau,<init>,113
87,org.apache.commons.math.optimization.linear.SimplexTableau,<init>,114
87,org.apache.commons.math.optimization.linear.SimplexTableau,copyArray,312
87,org.apache.commons.math.optimization.linear.SimplexTableau,copyArray,313
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,124
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,125
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,127
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,128
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,131
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,132
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,134
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,135
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,136
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,138
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,139
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,142
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,148
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,149
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,150
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,151
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,152
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,155
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,158
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,164
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,167
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,169
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,174
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,176
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,177
87,org.apache.commons.math.optimization.linear.SimplexTableau,createTableau,181
87,org.apache.commons.math.optimization.linear.SimplexTableau,discardArtificialVariables,288
87,org.apache.commons.math.optimization.linear.SimplexTableau,discardArtificialVariables,291
87,org.apache.commons.math.optimization.linear.SimplexTableau,discardArtificialVariables,292
87,org.apache.commons.math.optimization.linear.SimplexTableau,discardArtificialVariables,293
87,org.apache.commons.math.optimization.linear.SimplexTableau,discardArtificialVariables,294
87,org.apache.commons.math.optimization.linear.SimplexTableau,discardArtificialVariables,295
87,org.apache.commons.math.optimization.linear.SimplexTableau,discardArtificialVariables,296
87,org.apache.commons.math.optimization.linear.SimplexTableau,discardArtificialVariables,298
87,org.apache.commons.math.optimization.linear.SimplexTableau,discardArtificialVariables,300
87,org.apache.commons.math.optimization.linear.SimplexTableau,discardArtificialVariables,301
87,org.apache.commons.math.optimization.linear.SimplexTableau,discardArtificialVariables,302
87,org.apache.commons.math.optimization.linear.SimplexTableau,divideRow,366
87,org.apache.commons.math.optimization.linear.SimplexTableau,divideRow,367
87,org.apache.commons.math.optimization.linear.SimplexTableau,divideRow,369
87,org.apache.commons.math.optimization.linear.SimplexTableau,getArtificialVariableOffset,437
87,org.apache.commons.math.optimization.linear.SimplexTableau,getBasicRow,271
87,org.apache.commons.math.optimization.linear.SimplexTableau,getBasicRow,272
87,org.apache.commons.math.optimization.linear.SimplexTableau,getBasicRow,273
87,org.apache.commons.math.optimization.linear.SimplexTableau,getBasicRow,274
87,org.apache.commons.math.optimization.linear.SimplexTableau,getBasicRow,275
87,org.apache.commons.math.optimization.linear.SimplexTableau,getBasicRow,281
87,org.apache.commons.math.optimization.linear.SimplexTableau,getConstraintTypeCounts,232
87,org.apache.commons.math.optimization.linear.SimplexTableau,getConstraintTypeCounts,233
87,org.apache.commons.math.optimization.linear.SimplexTableau,getConstraintTypeCounts,234
87,org.apache.commons.math.optimization.linear.SimplexTableau,getConstraintTypeCounts,235
87,org.apache.commons.math.optimization.linear.SimplexTableau,getConstraintTypeCounts,237
87,org.apache.commons.math.optimization.linear.SimplexTableau,getConstraintTypeCounts,238
87,org.apache.commons.math.optimization.linear.SimplexTableau,getDecisionVariableValue,341
87,org.apache.commons.math.optimization.linear.SimplexTableau,getDecisionVariableValue,342
87,org.apache.commons.math.optimization.linear.SimplexTableau,getDecisionVariableValue,343
87,org.apache.commons.math.optimization.linear.SimplexTableau,getDecisionVariableValue,344
87,org.apache.commons.math.optimization.linear.SimplexTableau,getDecisionVariableValue,348
87,org.apache.commons.math.optimization.linear.SimplexTableau,getDecisionVariableValue,349
87,org.apache.commons.math.optimization.linear.SimplexTableau,getDecisionVariableValue,350
87,org.apache.commons.math.optimization.linear.SimplexTableau,getDecisionVariableValue,353
87,org.apache.commons.math.optimization.linear.SimplexTableau,getEntry,411
87,org.apache.commons.math.optimization.linear.SimplexTableau,getHeight,402
87,org.apache.commons.math.optimization.linear.SimplexTableau,getNormalizedConstraints,196
87,org.apache.commons.math.optimization.linear.SimplexTableau,getNormalizedConstraints,197
87,org.apache.commons.math.optimization.linear.SimplexTableau,getNormalizedConstraints,198
87,org.apache.commons.math.optimization.linear.SimplexTableau,getNormalizedConstraints,199
87,org.apache.commons.math.optimization.linear.SimplexTableau,getNormalizedConstraints,200
87,org.apache.commons.math.optimization.linear.SimplexTableau,getNumArtificialVariables,484
87,org.apache.commons.math.optimization.linear.SimplexTableau,getNumObjectiveFunctions,223
87,org.apache.commons.math.optimization.linear.SimplexTableau,getNumVariables,188
87,org.apache.commons.math.optimization.linear.SimplexTableau,getOriginalNumDecisionVariables,468
87,org.apache.commons.math.optimization.linear.SimplexTableau,getRhsOffset,445
87,org.apache.commons.math.optimization.linear.SimplexTableau,getSolution,323
87,org.apache.commons.math.optimization.linear.SimplexTableau,getSolution,324
87,org.apache.commons.math.optimization.linear.SimplexTableau,getSolution,325
87,org.apache.commons.math.optimization.linear.SimplexTableau,getSolution,326
87,org.apache.commons.math.optimization.linear.SimplexTableau,getSolution,329
87,org.apache.commons.math.optimization.linear.SimplexTableau,getWidth,394
87,org.apache.commons.math.optimization.linear.SimplexTableau,initialize,246
87,org.apache.commons.math.optimization.linear.SimplexTableau,initialize,247
87,org.apache.commons.math.optimization.linear.SimplexTableau,initialize,248
87,org.apache.commons.math.optimization.linear.SimplexTableau,initialize,250
87,org.apache.commons.math.optimization.linear.SimplexTableau,normalize,209
87,org.apache.commons.math.optimization.linear.SimplexTableau,normalize,214
87,org.apache.commons.math.optimization.linear.SimplexTableau,subtractRow,383
87,org.apache.commons.math.optimization.linear.SimplexTableau,subtractRow,384
87,org.apache.commons.math.optimization.linear.SimplexTableau,subtractRow,387
87,org.apache.commons.math.util.CompositeFormat,<init>,31
87,org.apache.commons.math.util.CompositeFormat,getDefaultNumberFormat,54
87,org.apache.commons.math.util.CompositeFormat,getDefaultNumberFormat,55
87,org.apache.commons.math.util.CompositeFormat,getDefaultNumberFormat,56
87,org.apache.commons.math.util.MathUtils,<clinit>,30
87,org.apache.commons.math.util.MathUtils,<clinit>,473
87,org.apache.commons.math.util.MathUtils,compareTo,367
87,org.apache.commons.math.util.MathUtils,compareTo,368
87,org.apache.commons.math.util.MathUtils,compareTo,369
87,org.apache.commons.math.util.MathUtils,compareTo,370
87,org.apache.commons.math.util.MathUtils,compareTo,372
87,org.apache.commons.math.util.MathUtils,equals,395
87,org.apache.commons.math.util.MathUtils,equals,411
