bug,class,method,line
89,org.apache.commons.math.stat.Frequency,<init>,57
89,org.apache.commons.math.stat.Frequency,<init>,58
89,org.apache.commons.math.stat.Frequency,<init>,59
89,org.apache.commons.math.stat.Frequency,<init>,66
89,org.apache.commons.math.stat.Frequency,<init>,67
89,org.apache.commons.math.stat.Frequency,<init>,68
89,org.apache.commons.math.stat.Frequency,addValue,174
89,org.apache.commons.math.stat.Frequency,addValue,175
89,org.apache.commons.math.stat.Frequency,addValue,147
89,org.apache.commons.math.stat.Frequency,addValue,148
89,org.apache.commons.math.stat.Frequency,addValue,165
89,org.apache.commons.math.stat.Frequency,addValue,166
89,org.apache.commons.math.stat.Frequency,addValue,124
89,org.apache.commons.math.stat.Frequency,addValue,125
89,org.apache.commons.math.stat.Frequency,addValue,129
89,org.apache.commons.math.stat.Frequency,addValue,130
89,org.apache.commons.math.stat.Frequency,addValue,131
89,org.apache.commons.math.stat.Frequency,addValue,133
89,org.apache.commons.math.stat.Frequency,addValue,138
89,org.apache.commons.math.stat.Frequency,addValue,139
89,org.apache.commons.math.stat.Frequency,addValue,156
89,org.apache.commons.math.stat.Frequency,addValue,157
89,org.apache.commons.math.stat.Frequency,clear,179
89,org.apache.commons.math.stat.Frequency,clear,180
89,org.apache.commons.math.stat.Frequency,getCount,261
89,org.apache.commons.math.stat.Frequency,getCount,241
89,org.apache.commons.math.stat.Frequency,getCount,251
89,org.apache.commons.math.stat.Frequency,getCount,219
89,org.apache.commons.math.stat.Frequency,getCount,220
89,org.apache.commons.math.stat.Frequency,getCount,222
89,org.apache.commons.math.stat.Frequency,getCount,224
89,org.apache.commons.math.stat.Frequency,getCount,225
89,org.apache.commons.math.stat.Frequency,getCount,226
89,org.apache.commons.math.stat.Frequency,getCount,230
89,org.apache.commons.math.stat.Frequency,getCount,231
89,org.apache.commons.math.stat.Frequency,getCumFreq,401
89,org.apache.commons.math.stat.Frequency,getCumFreq,377
89,org.apache.commons.math.stat.Frequency,getCumFreq,389
89,org.apache.commons.math.stat.Frequency,getCumFreq,327
89,org.apache.commons.math.stat.Frequency,getCumFreq,328
89,org.apache.commons.math.stat.Frequency,getCumFreq,330
89,org.apache.commons.math.stat.Frequency,getCumFreq,331
89,org.apache.commons.math.stat.Frequency,getCumFreq,333
89,org.apache.commons.math.stat.Frequency,getCumFreq,334
89,org.apache.commons.math.stat.Frequency,getCumFreq,335
89,org.apache.commons.math.stat.Frequency,getCumFreq,337
89,org.apache.commons.math.stat.Frequency,getCumFreq,340
89,org.apache.commons.math.stat.Frequency,getCumFreq,341
89,org.apache.commons.math.stat.Frequency,getCumFreq,342
89,org.apache.commons.math.stat.Frequency,getCumFreq,344
89,org.apache.commons.math.stat.Frequency,getCumFreq,345
89,org.apache.commons.math.stat.Frequency,getCumFreq,346
89,org.apache.commons.math.stat.Frequency,getCumFreq,348
89,org.apache.commons.math.stat.Frequency,getCumFreq,349
89,org.apache.commons.math.stat.Frequency,getCumFreq,352
89,org.apache.commons.math.stat.Frequency,getCumFreq,353
89,org.apache.commons.math.stat.Frequency,getCumFreq,356
89,org.apache.commons.math.stat.Frequency,getCumFreq,357
89,org.apache.commons.math.stat.Frequency,getCumFreq,358
89,org.apache.commons.math.stat.Frequency,getCumFreq,359
89,org.apache.commons.math.stat.Frequency,getCumFreq,360
89,org.apache.commons.math.stat.Frequency,getCumFreq,362
89,org.apache.commons.math.stat.Frequency,getCumFreq,364
89,org.apache.commons.math.stat.Frequency,getCumPct,461
89,org.apache.commons.math.stat.Frequency,getCumPct,435
89,org.apache.commons.math.stat.Frequency,getCumPct,418
89,org.apache.commons.math.stat.Frequency,getCumPct,419
89,org.apache.commons.math.stat.Frequency,getCumPct,420
89,org.apache.commons.math.stat.Frequency,getCumPct,422
89,org.apache.commons.math.stat.Frequency,getPct,313
89,org.apache.commons.math.stat.Frequency,getPct,276
89,org.apache.commons.math.stat.Frequency,getPct,277
89,org.apache.commons.math.stat.Frequency,getPct,278
89,org.apache.commons.math.stat.Frequency,getPct,280
89,org.apache.commons.math.stat.Frequency,getSumFreq,203
89,org.apache.commons.math.stat.Frequency,getSumFreq,204
89,org.apache.commons.math.stat.Frequency,getSumFreq,205
89,org.apache.commons.math.stat.Frequency,getSumFreq,206
89,org.apache.commons.math.stat.Frequency,getSumFreq,208
89,org.apache.commons.math.stat.Frequency,valuesIterator,192
89,org.apache.commons.math.stat.Frequency$NaturalComparator,<init>,468
89,org.apache.commons.math.stat.Frequency$NaturalComparator,compare,487
