project,bug,top_hits,top_index
Math,2,['HypergeometricDistribution#getNumericalMean'],[21]
Math,10,['DSCompiler#atan2'],[1]
Math,12,[],[]
Math,13,[],[]
Math,14,['Weight#Weight'],[56]
Math,23,['BrentOptimizer#doOptimize'],[1]
Math,24,['BrentOptimizer#doOptimize'],[1]
Math,26,['Fraction#Fraction'],[2]
Math,28,['SimplexSolver#getPivotRow'],[1]
Math,45,['OpenMapRealMatrix#OpenMapRealMatrix'],[1]
Math,46,['Complex#divide'],[2]
Math,48,['BaseSecantSolver#doSolve'],[1]
Math,50,['BaseSecantSolver#doSolve'],[1]
Math,53,['Complex#add'],[1]
Math,60,[],[]
Math,64,['LevenbergMarquardtOptimizer#doOptimize'],[2]
Math,74,[],[]
Math,75,['Frequency#getPct'],[3]
Math,87,['SimplexTableau#getBasicRow'],[11]
Math,88,[],[]
Math,89,['Frequency#addValue'],[1]
Math,94,['MathUtils#gcd'],[1]
