bug,class,method,line,path,line_source
11,org.joda.time.Chronology,<init>,63,/JodaTime/src/main/java/org/joda/time/Chronology.java,public abstract class Chronology {
11,org.joda.time.DateTime,<init>,168,/JodaTime/src/main/java/org/joda/time/DateTime.java,* @param instant  the milliseconds from 1970-01-01T00:00:00Z
11,org.joda.time.DateTime,<init>,169,/JodaTime/src/main/java/org/joda/time/DateTime.java,"* @param chronology  the chronology, null means ISOChronology in default zone"
11,org.joda.time.DateTimeField,<init>,33,/JodaTime/src/main/java/org/joda/time/DateTimeField.java,public abstract class DateTimeField {
11,org.joda.time.DateTimeFieldType,<clinit>,72,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType ERA_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,75,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType YEAR_OF_ERA_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,78,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType CENTURY_OF_ERA_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,81,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType YEAR_OF_CENTURY_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,84,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType YEAR_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,87,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType DAY_OF_YEAR_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,90,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType MONTH_OF_YEAR_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,93,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType DAY_OF_MONTH_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,96,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType WEEKYEAR_OF_CENTURY_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,99,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType WEEKYEAR_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,102,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType WEEK_OF_WEEKYEAR_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,105,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType DAY_OF_WEEK_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,109,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType HALFDAY_OF_DAY_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,112,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType HOUR_OF_HALFDAY_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,115,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType CLOCKHOUR_OF_HALFDAY_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,118,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType CLOCKHOUR_OF_DAY_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,121,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType HOUR_OF_DAY_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,124,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType MINUTE_OF_DAY_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,127,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType MINUTE_OF_HOUR_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,130,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType SECOND_OF_DAY_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,133,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType SECOND_OF_MINUTE_TYPE = new StandardDateTimeFieldType(
11,org.joda.time.DateTimeFieldType,<clinit>,136,/JodaTime/src/main/java/org/joda/time/DateTimeFieldType.java,private static final DateTimeFieldType MILLIS_OF_DAY_TYPE = new StandardDateTimeFieldType(
