bug,class,method,line
2,org.joda.time.Chronology,<init>,63
2,org.joda.time.DateTime,<init>,516
2,org.joda.time.DateTime,<init>,518
2,org.joda.time.DateTime,toDateTime,527
2,org.joda.time.DateTimeField,<init>,33
2,org.joda.time.DateTimeFieldType,<clinit>,73
2,org.joda.time.DateTimeFieldType,<clinit>,76
2,org.joda.time.DateTimeFieldType,<clinit>,79
2,org.joda.time.DateTimeFieldType,<clinit>,82
2,org.joda.time.DateTimeFieldType,<clinit>,85
2,org.joda.time.DateTimeFieldType,<clinit>,88
2,org.joda.time.DateTimeFieldType,<clinit>,91
2,org.joda.time.DateTimeFieldType,<clinit>,94
2,org.joda.time.DateTimeFieldType,<clinit>,97
2,org.joda.time.DateTimeFieldType,<clinit>,100
2,org.joda.time.DateTimeFieldType,<clinit>,103
2,org.joda.time.DateTimeFieldType,<clinit>,106
2,org.joda.time.DateTimeFieldType,<clinit>,110
2,org.joda.time.DateTimeFieldType,<clinit>,113
2,org.joda.time.DateTimeFieldType,<clinit>,116
2,org.joda.time.DateTimeFieldType,<clinit>,119
2,org.joda.time.DateTimeFieldType,<clinit>,122
2,org.joda.time.DateTimeFieldType,<clinit>,125
2,org.joda.time.DateTimeFieldType,<clinit>,128
2,org.joda.time.DateTimeFieldType,<clinit>,131
2,org.joda.time.DateTimeFieldType,<clinit>,134
2,org.joda.time.DateTimeFieldType,<clinit>,137
2,org.joda.time.DateTimeFieldType,<clinit>,140
2,org.joda.time.DateTimeFieldType,<init>,153
2,org.joda.time.DateTimeFieldType,<init>,154
2,org.joda.time.DateTimeFieldType,<init>,155
2,org.joda.time.DateTimeFieldType,centuryOfEra,354
2,org.joda.time.DateTimeFieldType,clockhourOfDay,227
2,org.joda.time.DateTimeFieldType,clockhourOfHalfday,245
2,org.joda.time.DateTimeFieldType,dayOfMonth,273
2,org.joda.time.DateTimeFieldType,dayOfWeek,264
2,org.joda.time.DateTimeFieldType,dayOfYear,282
2,org.joda.time.DateTimeFieldType,era,363
2,org.joda.time.DateTimeFieldType,halfdayOfDay,254
2,org.joda.time.DateTimeFieldType,hourOfDay,218
2,org.joda.time.DateTimeFieldType,hourOfHalfday,236
2,org.joda.time.DateTimeFieldType,millisOfDay,173
2,org.joda.time.DateTimeFieldType,millisOfSecond,164
2,org.joda.time.DateTimeFieldType,minuteOfDay,209
2,org.joda.time.DateTimeFieldType,minuteOfHour,200
2,org.joda.time.DateTimeFieldType,monthOfYear,318
2,org.joda.time.DateTimeFieldType,secondOfDay,191
2,org.joda.time.DateTimeFieldType,secondOfMinute,182
2,org.joda.time.DateTimeFieldType,weekOfWeekyear,291
2,org.joda.time.DateTimeFieldType,weekyear,300
2,org.joda.time.DateTimeFieldType,weekyearOfCentury,309
2,org.joda.time.DateTimeFieldType,year,327
2,org.joda.time.DateTimeFieldType,yearOfCentury,345
2,org.joda.time.DateTimeFieldType,yearOfEra,336
2,org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,<init>,444
2,org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,<init>,445
2,org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,<init>,446
2,org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,<init>,447
2,org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,<init>,448
2,org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,getDurationType,452
2,org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,getField,480
2,org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,getField,482
2,org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,getField,516
2,org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,getField,520
2,org.joda.time.DateTimeUtils,<clinit>,41
2,org.joda.time.DateTimeUtils,<clinit>,43
2,org.joda.time.DateTimeUtils,<clinit>,49
2,org.joda.time.DateTimeUtils,<clinit>,50
2,org.joda.time.DateTimeUtils,<clinit>,51
2,org.joda.time.DateTimeUtils,<clinit>,52
2,org.joda.time.DateTimeUtils,<clinit>,53
2,org.joda.time.DateTimeUtils,<clinit>,54
2,org.joda.time.DateTimeUtils,<clinit>,55
2,org.joda.time.DateTimeUtils,<clinit>,56
2,org.joda.time.DateTimeUtils,<clinit>,57
2,org.joda.time.DateTimeUtils,<clinit>,58
2,org.joda.time.DateTimeUtils,<clinit>,59
2,org.joda.time.DateTimeUtils,<clinit>,60
2,org.joda.time.DateTimeUtils,<clinit>,61
2,org.joda.time.DateTimeUtils,<clinit>,62
2,org.joda.time.DateTimeUtils,checkPermission,161
2,org.joda.time.DateTimeUtils,checkPermission,162
2,org.joda.time.DateTimeUtils,checkPermission,165
2,org.joda.time.DateTimeUtils,getChronology,284
2,org.joda.time.DateTimeUtils,getChronology,287
2,org.joda.time.DateTimeUtils,getZone,301
2,org.joda.time.DateTimeUtils,getZone,304
2,org.joda.time.DateTimeUtils,put,65
2,org.joda.time.DateTimeUtils,put,68
2,org.joda.time.DateTimeUtils,put,69
2,org.joda.time.DateTimeUtils,setCurrentMillisFixed,114
2,org.joda.time.DateTimeUtils,setCurrentMillisFixed,115
2,org.joda.time.DateTimeUtils,setCurrentMillisFixed,116
2,org.joda.time.DateTimeUtils,setCurrentMillisSystem,100
2,org.joda.time.DateTimeUtils,setCurrentMillisSystem,101
2,org.joda.time.DateTimeUtils,setCurrentMillisSystem,102
2,org.joda.time.DateTimeUtils$FixedMillisProvider,<init>,547
2,org.joda.time.DateTimeUtils$FixedMillisProvider,<init>,548
2,org.joda.time.DateTimeUtils$FixedMillisProvider,<init>,549
2,org.joda.time.DateTimeUtils$SystemMillisProvider,<init>,526
2,org.joda.time.DateTimeZone,<clinit>,94
2,org.joda.time.DateTimeZone,<clinit>,116
2,org.joda.time.DateTimeZone,<clinit>,117
2,org.joda.time.DateTimeZone,<clinit>,118
2,org.joda.time.DateTimeZone,<init>,714
