bug,class,method,line
23,org.joda.time.Chronology,<init>,65
23,org.joda.time.DateTimeField,<init>,33
23,org.joda.time.DateTimeFieldType,<clinit>,72
23,org.joda.time.DateTimeFieldType,<clinit>,75
23,org.joda.time.DateTimeFieldType,<clinit>,78
23,org.joda.time.DateTimeFieldType,<clinit>,81
23,org.joda.time.DateTimeFieldType,<clinit>,84
23,org.joda.time.DateTimeFieldType,<clinit>,87
23,org.joda.time.DateTimeFieldType,<clinit>,90
23,org.joda.time.DateTimeFieldType,<clinit>,93
23,org.joda.time.DateTimeFieldType,<clinit>,96
23,org.joda.time.DateTimeFieldType,<clinit>,99
23,org.joda.time.DateTimeFieldType,<clinit>,102
23,org.joda.time.DateTimeFieldType,<clinit>,105
23,org.joda.time.DateTimeFieldType,<clinit>,109
23,org.joda.time.DateTimeFieldType,<clinit>,112
23,org.joda.time.DateTimeFieldType,<clinit>,115
23,org.joda.time.DateTimeFieldType,<clinit>,118
23,org.joda.time.DateTimeFieldType,<clinit>,121
23,org.joda.time.DateTimeFieldType,<clinit>,124
23,org.joda.time.DateTimeFieldType,<clinit>,127
23,org.joda.time.DateTimeFieldType,<clinit>,130
23,org.joda.time.DateTimeFieldType,<clinit>,133
23,org.joda.time.DateTimeFieldType,<clinit>,136
23,org.joda.time.DateTimeFieldType,<clinit>,139
23,org.joda.time.DateTimeFieldType,<init>,152
23,org.joda.time.DateTimeFieldType,<init>,153
23,org.joda.time.DateTimeFieldType,<init>,154
23,org.joda.time.DateTimeFieldType,centuryOfEra,353
23,org.joda.time.DateTimeFieldType,clockhourOfDay,226
23,org.joda.time.DateTimeFieldType,clockhourOfHalfday,244
23,org.joda.time.DateTimeFieldType,dayOfMonth,272
23,org.joda.time.DateTimeFieldType,dayOfWeek,263
23,org.joda.time.DateTimeFieldType,dayOfYear,281
23,org.joda.time.DateTimeFieldType,era,362
23,org.joda.time.DateTimeFieldType,halfdayOfDay,253
23,org.joda.time.DateTimeFieldType,hourOfDay,217
23,org.joda.time.DateTimeFieldType,hourOfHalfday,235
23,org.joda.time.DateTimeFieldType,millisOfDay,172
23,org.joda.time.DateTimeFieldType,millisOfSecond,163
23,org.joda.time.DateTimeFieldType,minuteOfDay,208
23,org.joda.time.DateTimeFieldType,minuteOfHour,199
23,org.joda.time.DateTimeFieldType,monthOfYear,317
23,org.joda.time.DateTimeFieldType,secondOfDay,190
23,org.joda.time.DateTimeFieldType,secondOfMinute,181
23,org.joda.time.DateTimeFieldType,weekOfWeekyear,290
23,org.joda.time.DateTimeFieldType,weekyear,299
23,org.joda.time.DateTimeFieldType,weekyearOfCentury,308
23,org.joda.time.DateTimeFieldType,year,326
23,org.joda.time.DateTimeFieldType,yearOfCentury,344
23,org.joda.time.DateTimeFieldType,yearOfEra,335
23,org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,<init>,443
23,org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,<init>,444
23,org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,<init>,445
23,org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,<init>,446
23,org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,<init>,447
23,org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,getDurationType,451
23,org.joda.time.DateTimeFieldType$StandardDateTimeFieldType,getRangeDurationType,456
23,org.joda.time.DateTimeUtils,<clinit>,31
23,org.joda.time.DateTimeUtils,<clinit>,34
23,org.joda.time.DateTimeUtils,getChronology,211
23,org.joda.time.DateTimeUtils,getChronology,214
23,org.joda.time.DateTimeUtils$MillisProvider,<init>,272
23,org.joda.time.DateTimeUtils$SystemMillisProvider,<init>,283
23,org.joda.time.DateTimeZone,<clinit>,93
23,org.joda.time.DateTimeZone,<clinit>,113
23,org.joda.time.DateTimeZone,<clinit>,114
23,org.joda.time.DateTimeZone,<clinit>,118
23,org.joda.time.DateTimeZone,<clinit>,121
23,org.joda.time.DateTimeZone,<clinit>,122
23,org.joda.time.DateTimeZone,<clinit>,127
23,org.joda.time.DateTimeZone,<clinit>,129
23,org.joda.time.DateTimeZone,<clinit>,132
23,org.joda.time.DateTimeZone,<init>,652
23,org.joda.time.DateTimeZone,<init>,653
23,org.joda.time.DateTimeZone,<init>,656
23,org.joda.time.DateTimeZone,<init>,657
23,org.joda.time.DateTimeZone,fixedOffsetZone,310
23,org.joda.time.DateTimeZone,fixedOffsetZone,311
23,org.joda.time.DateTimeZone,fixedOffsetZone,314
23,org.joda.time.DateTimeZone,fixedOffsetZone,315
23,org.joda.time.DateTimeZone,fixedOffsetZone,321
23,org.joda.time.DateTimeZone,fixedOffsetZone,322
23,org.joda.time.DateTimeZone,fixedOffsetZone,323
23,org.joda.time.DateTimeZone,getDefault,140
23,org.joda.time.DateTimeZone,getDefaultNameProvider,487
23,org.joda.time.DateTimeZone,getDefaultNameProvider,489
23,org.joda.time.DateTimeZone,getDefaultNameProvider,490
23,org.joda.time.DateTimeZone,getDefaultNameProvider,500
23,org.joda.time.DateTimeZone,getDefaultNameProvider,502
23,org.joda.time.DateTimeZone,getDefaultNameProvider,503
23,org.joda.time.DateTimeZone,getDefaultNameProvider,506
23,org.joda.time.DateTimeZone,getDefaultProvider,401
23,org.joda.time.DateTimeZone,getDefaultProvider,404
23,org.joda.time.DateTimeZone,getDefaultProvider,406
23,org.joda.time.DateTimeZone,getDefaultProvider,416
23,org.joda.time.DateTimeZone,getDefaultProvider,418
23,org.joda.time.DateTimeZone,getDefaultProvider,420
23,org.joda.time.DateTimeZone,getDefaultProvider,424
23,org.joda.time.DateTimeZone,getDefaultProvider,427
23,org.joda.time.DateTimeZone,getDefaultProvider,431
23,org.joda.time.DateTimeZone,getID,668
