bug,class,method,line
7,org.joda.time.Chronology,<init>,63
7,org.joda.time.DateTime,<init>,468
7,org.joda.time.DateTime,<init>,470
7,org.joda.time.DateTime,<init>,439
7,org.joda.time.DateTime,<init>,441
7,org.joda.time.DateTime,toDateTime,479
7,org.joda.time.DateTimeField,<init>,33
7,org.joda.time.DateTimeFieldType,<clinit>,72
7,org.joda.time.DateTimeFieldType,<clinit>,75
7,org.joda.time.DateTimeFieldType,<clinit>,78
7,org.joda.time.DateTimeFieldType,<clinit>,81
7,org.joda.time.DateTimeFieldType,<clinit>,84
7,org.joda.time.DateTimeFieldType,<clinit>,87
7,org.joda.time.DateTimeFieldType,<clinit>,90
7,org.joda.time.DateTimeFieldType,<clinit>,93
7,org.joda.time.DateTimeFieldType,<clinit>,96
7,org.joda.time.DateTimeFieldType,<clinit>,99
7,org.joda.time.DateTimeFieldType,<clinit>,102
7,org.joda.time.DateTimeFieldType,<clinit>,105
7,org.joda.time.DateTimeFieldType,<clinit>,109
7,org.joda.time.DateTimeFieldType,<clinit>,112
7,org.joda.time.DateTimeFieldType,<clinit>,115
7,org.joda.time.DateTimeFieldType,<clinit>,118
7,org.joda.time.DateTimeFieldType,<clinit>,121
7,org.joda.time.DateTimeFieldType,<clinit>,124
7,org.joda.time.DateTimeFieldType,<clinit>,127
7,org.joda.time.DateTimeFieldType,<clinit>,130
7,org.joda.time.DateTimeFieldType,<clinit>,133
7,org.joda.time.DateTimeFieldType,<clinit>,136
7,org.joda.time.DateTimeFieldType,<clinit>,139
7,org.joda.time.DateTimeFieldType,<init>,152
7,org.joda.time.DateTimeFieldType,<init>,153
7,org.joda.time.DateTimeFieldType,<init>,154
7,org.joda.time.DateTimeFieldType,centuryOfEra,353
7,org.joda.time.DateTimeFieldType,clockhourOfDay,226
7,org.joda.time.DateTimeFieldType,clockhourOfHalfday,244
7,org.joda.time.DateTimeFieldType,dayOfMonth,272
7,org.joda.time.DateTimeFieldType,dayOfWeek,263
